,filename,biomarker,channel_index,fifth_pct,cv_background,snr,dynamic_range,flag
24,LSP12022-B5.ome.tif,PCNA,25,524.0,0.09419621478589428,390.87040334792476,20957.619999999995,OK
25,LSP12022-B5.ome.tif,ER,26,66.0,0.06606825124120347,285.4834797127121,1326.0,WARNING: narrow dynamic range → CLAHE or normalization
26,LSP12022-B5.ome.tif,HER2,27,2237.0,0.02143755438513494,682.71726870278,33430.619999999995,WARNING: uniform background → rolling ball subtraction
27,LSP12022-B5.ome.tif,dna(8),28,47.0,0.13369716332597534,4010.1121162329728,28905.23999999999,OK
28,LSP12022-B5.ome.tif,CK1-4,29,265.0,0.085354428503822,171.4667120032967,4232.0,OK
29,LSP12022-B5.ome.tif,CK19,30,148.0,0.2303861045403281,11.440997712197726,487.0,WARNING: narrow dynamic range → CLAHE or normalization
30,LSP12022-B5.ome.tif,CK17,31,582.0,0.04438647787578258,18.759150053373403,505.0,WARNING: narrow dynamic range → CLAHE or normalization
31,LSP12022-B5.ome.tif,dna(9),32,73.0,0.0881806607041369,3870.59899335663,26956.809999999998,OK
32,LSP12022-B5.ome.tif,LamAC,33,735.0,0.0091392406198476,267.8028258529562,1811.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
33,LSP12022-B5.ome.tif,AR,34,325.0,0.018148250288508732,1057.7135742518376,6335.0,OK
34,LSP12022-B5.ome.tif,gH2AX,35,1214.0,0.0043167036321277155,86.22752383183472,453.0,WARNING: uniform background → rolling ball subtraction
35,LSP12022-B5.ome.tif,dna(10),36,278.0,0.10722465642554403,909.6071460577991,29775.0,OK
36,LSP12022-B5.ome.tif,PR,37,999.0,0.008097950763511491,170.34986572865355,1388.0,WARNING: narrow dynamic range → CLAHE or normalization
37,LSP12022-B5.ome.tif,HLA-A,38,477.0,0.01339328008991712,169.23332947512736,1093.0,WARNING: narrow dynamic range → CLAHE or normalization
38,LSP12022-B5.ome.tif,CK5,39,487.0,0.005676246089812932,21.288233731486812,59.0,WARNING: narrow dynamic range → CLAHE or normalization
0,LSP12022-B9.ome.tif,dna,0,113.0,0.2118325697375379,2046.027847969688,58414.619999999995,OK
1,LSP12022-B9.ome.tif,control488nm,1,292.0,0.021300900992543625,591.3916487946476,3743.0,OK
2,LSP12022-B9.ome.tif,control555nm,2,106.0,0.057899992302856904,149.02862778725944,966.0,WARNING: narrow dynamic range → CLAHE or normalization
3,LSP12022-B9.ome.tif,control647nm,3,440.0,0.023890748478944495,173.81319255876596,1867.0,WARNING: narrow dynamic range → CLAHE or normalization
4,LSP12022-B9.ome.tif,dna(2),4,78.0,0.17050832106634517,2568.139769956166,39025.0,OK
5,LSP12022-B9.ome.tif,RNApol2-pS2,5,853.0,0.03991088354271807,385.8904681495662,13645.809999999998,OK
6,LSP12022-B9.ome.tif,pERK,6,375.0,0.118365771436304,112.11905444399906,5548.429999999993,OK
7,LSP12022-B9.ome.tif,p53,7,407.0,0.05963546763741594,1879.9062356319544,48035.619999999995,OK
8,LSP12022-B9.ome.tif,dna(3),8,69.0,0.24875374509339165,1816.0533320334432,40128.859999999986,OK
9,LSP12022-B9.ome.tif,Ki67,9,455.0,0.02652288640769515,392.80760247668127,4844.0,OK
10,LSP12022-B9.ome.tif,panCK,10,277.0,0.19192183462977377,920.6033902373339,61060.81,OK
11,LSP12022-B9.ome.tif,CD45,11,2231.0,0.005521214949308911,348.0415788215463,4297.809999999998,WARNING: uniform background → rolling ball subtraction
12,LSP12022-B9.ome.tif,dna(4),12,74.0,0.18233844711458555,2766.6937338854455,45444.42999999999,OK
13,LSP12022-B9.ome.tif,Ecad,13,858.0,0.0215142353996662,587.1551061948553,11063.619999999995,OK
14,LSP12022-B9.ome.tif,aSMA,22,93.0,0.22713540548667235,1435.8780833071683,38788.909999999974,OK
15,LSP12022-B9.ome.tif,Vim,15,102.0,0.0887080033978419,3214.0869594958917,31184.619999999995,OK
16,LSP12022-B9.ome.tif,dna(5),16,57.0,0.19591401053481416,3040.5004019744524,41760.42999999999,OK
17,LSP12022-B9.ome.tif,EGFR,17,683.0,0.016725079867297526,785.0507295351438,9102.809999999998,OK
18,LSP12022-B9.ome.tif,pRb,18,156.0,0.029110845386734426,219.1869315093737,1016.0,WARNING: narrow dynamic range → CLAHE or normalization
19,LSP12022-B9.ome.tif,p21,19,1838.0,0.003109779282538258,172.81412758290054,990.0,WARNING: uniform background → rolling ball subtraction
20,LSP12022-B9.ome.tif,dna(6),20,68.0,0.16131073093175444,3064.515535443926,39406.0,OK
21,LSP12022-B9.ome.tif,CD20,21,560.0,0.10261395096722736,32.29856735326833,2038.8099999999977,OK
22,LSP12022-B9.ome.tif,PD1,23,2225.0,0.008904372712920921,52.2481503624062,1043.0,WARNING: uniform background → rolling ball subtraction
23,LSP12022-B9.ome.tif,dna(7),24,63.0,0.20758181642941703,2745.0412153758116,45709.0,OK
24,LSP12022-B9.ome.tif,PCNA,25,716.0,0.39407912572819453,39.199750960894846,20320.809999999998,OK
25,LSP12022-B9.ome.tif,ER,26,76.0,0.19717562124274096,249.79599444550436,4626.0,OK
26,LSP12022-B9.ome.tif,HER2,27,2297.0,0.010665578843904757,138.01249347555094,3414.0,WARNING: uniform background → rolling ball subtraction
27,LSP12022-B9.ome.tif,dna(8),28,50.0,0.20632982734321748,2888.9040427537007,37043.81,OK
28,LSP12022-B9.ome.tif,CK1-4,29,342.0,0.13151605712373332,145.9580635357061,7533.0,OK
29,LSP12022-B9.ome.tif,CK19,30,97.0,0.3167294232293953,1149.4353825132337,46986.0,OK
30,LSP12022-B9.ome.tif,CK17,31,569.0,0.050741680358683976,80.13862167369291,2424.0,OK
31,LSP12022-B9.ome.tif,dna(9),32,81.0,0.10842921488812009,3602.2755738133606,35316.04999999999,OK
32,LSP12022-B9.ome.tif,LamAC,33,746.0,0.022651500958692283,497.7673402418776,8598.619999999995,OK
33,LSP12022-B9.ome.tif,AR,34,327.0,0.020944949987637313,524.3304588158594,3654.0,OK
34,LSP12022-B9.ome.tif,gH2AX,35,1217.0,0.004706293168883611,239.1702586495939,1375.0,WARNING: uniform background → rolling ball subtraction
35,LSP12022-B9.ome.tif,dna(10),36,88.0,0.19732504174503002,1719.012573363166,35731.859999999986,OK
36,LSP12022-B9.ome.tif,PR,37,1009.0,0.00823004106749842,264.34846162941307,2212.0,WARNING: uniform background → rolling ball subtraction
37,LSP12022-B9.ome.tif,HLA-A,38,476.0,0.01674523590075006,219.04402368959308,1770.0,WARNING: narrow dynamic range → CLAHE or normalization
38,LSP12022-B9.ome.tif,CK5,39,493.0,0.00968194817527197,714.3333826957693,3437.0,OK
0,LSP12022-C3.ome.tif,dna,0,69.0,0.051334299067583467,357.3960091666925,1314.0,WARNING: narrow dynamic range → CLAHE or normalization
1,LSP12022-C3.ome.tif,control488nm,1,284.0,0.02077831396851007,111.04867244110928,666.0,WARNING: narrow dynamic range → CLAHE or normalization
2,LSP12022-C3.ome.tif,control555nm,2,91.0,0.03824747181580245,68.8558767719361,245.0,WARNING: narrow dynamic range → CLAHE or normalization
3,LSP12022-C3.ome.tif,control647nm,3,404.0,0.016283405794630747,39.195224538853324,261.0,WARNING: narrow dynamic range → CLAHE or normalization
4,LSP12022-C3.ome.tif,dna(2),4,52.0,0.04265457716313461,263.73066586957975,603.0,WARNING: narrow dynamic range → CLAHE or normalization
5,LSP12022-C3.ome.tif,RNApol2-pS2,5,909.0,0.030071214269537145,37.92964873732439,1068.0,WARNING: narrow dynamic range → CLAHE or normalization
6,LSP12022-C3.ome.tif,pERK,6,408.0,0.05724325551757666,310.63774285642825,7605.0,OK
7,LSP12022-C3.ome.tif,p53,7,465.0,0.09016839175098973,13.773667208199942,634.0,WARNING: narrow dynamic range → CLAHE or normalization
8,LSP12022-C3.ome.tif,dna(3),8,30.0,0.06125996256784217,398.91101129651076,758.0,WARNING: narrow dynamic range → CLAHE or normalization
9,LSP12022-C3.ome.tif,Ki67,9,403.0,0.010816589573897013,472.0826406427439,2073.0,OK
10,LSP12022-C3.ome.tif,panCK,10,79.0,0.07485177889833315,375.5333761491607,2329.0,OK
11,LSP12022-C3.ome.tif,CD45,11,2196.0,0.0022390839787986582,62.53934809175297,308.0,WARNING: uniform background → rolling ball subtraction
12,LSP12022-C3.ome.tif,dna(4),12,52.0,0.06112659850925439,190.00253785951168,631.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
13,LSP12022-C3.ome.tif,Ecad,13,806.0,0.013629086597647763,55.993311650294174,622.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
14,LSP12022-C3.ome.tif,aSMA,22,181.0,0.039655256325557484,47.14658611546671,350.0,WARNING: narrow dynamic range → CLAHE or normalization
15,LSP12022-C3.ome.tif,Vim,15,93.0,0.03255831535327267,57.980109609247364,181.0,WARNING: narrow dynamic range → CLAHE or normalization
16,LSP12022-C3.ome.tif,dna(5),16,43.0,0.046515937002762124,270.30619014666445,562.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
17,LSP12022-C3.ome.tif,EGFR,17,641.0,0.009372332354452917,83.2874518108094,504.0,WARNING: narrow dynamic range → CLAHE or normalization
18,LSP12022-C3.ome.tif,pRb,18,136.0,0.0269173670609116,42.65638155184024,159.0,WARNING: narrow dynamic range → CLAHE or normalization
19,LSP12022-C3.ome.tif,p21,19,1826.0,0.002396396546759739,17.79431077444799,78.0,WARNING: uniform background → rolling ball subtraction
20,LSP12022-C3.ome.tif,dna(6),20,50.0,0.04026558871008454,228.60830977673265,468.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
21,LSP12022-C3.ome.tif,CD20,21,563.0,0.03766589245059822,11.195592185399446,245.0,WARNING: narrow dynamic range → CLAHE or normalization
22,LSP12022-C3.ome.tif,PD1,23,2218.0,0.0047241592817245685,27.002305216550873,284.0,WARNING: uniform background → rolling ball subtraction
23,LSP12022-C3.ome.tif,dna(7),24,40.0,0.04791114268927798,207.2882324213861,407.8099999999977,WARNING: narrow dynamic range → CLAHE or normalization
24,LSP12022-C3.ome.tif,PCNA,25,425.0,0.09403472271107713,20.36549493882542,894.0,WARNING: narrow dynamic range → CLAHE or normalization
25,LSP12022-C3.ome.tif,ER,26,63.0,0.05492455455164723,40.12489488695804,144.0,WARNING: narrow dynamic range → CLAHE or normalization
26,LSP12022-C3.ome.tif,HER2,27,2207.0,0.005661827407106323,42.20200559005774,530.0,WARNING: uniform background → rolling ball subtraction
27,LSP12022-C3.ome.tif,dna(8),28,43.0,0.04286884895069374,119.00616624281963,225.0,WARNING: narrow dynamic range → CLAHE or normalization
28,LSP12022-C3.ome.tif,CK1-4,29,265.0,0.033166033995593466,70.14917410868493,633.0,WARNING: narrow dynamic range → CLAHE or normalization
29,LSP12022-C3.ome.tif,CK19,30,316.0,0.08026860778377755,24.936772435218412,683.0,WARNING: narrow dynamic range → CLAHE or normalization
